GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,org.uteq.backend.deportivo.asistencia.service,QrAsistenciaService,3,58,0,6,2,14,0,6,0,3
backend,org.uteq.backend.deportivo.asistencia.service,QrAsistenciaService.TokenQr,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.service,AsistenciaService,32,649,4,50,1,132,8,38,4,15
backend,org.uteq.backend.deportivo.lesion.entity,Lesion,0,7,0,2,0,1,0,2,0,1
backend,org.uteq.backend.deportivo.horario.controller,HorarioController,9,30,0,0,1,5,1,4,1,4
backend,org.uteq.backend.inventario.articulo.dto,ArticuloDtos.StockBajoResponse,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.articulo.dto,ArticuloDtos.ArticuloResponse,0,33,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.articulo.dto,ArticuloDtos.ArticuloRequest,0,21,0,0,0,1,0,1,0,1
backend,org.uteq.backend.academico.pago.controller,PagoController,27,126,1,5,4,26,3,8,2,6
backend,org.uteq.backend.deportivo.especialidad.dto,EspecialidadRequest,0,6,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.especialidad.dto,EspecialidadResponse,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.academico.pago.dto,PagoDtos.PagoResponse,7,39,2,0,1,1,2,1,1,1
backend,org.uteq.backend.academico.pago.dto,PagoDtos.HistoricoIngresosResponse,15,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.academico.pago.dto,PagoDtos.IngresosMesResponse,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.academico.pago.dto,PagoDtos.RegistrarDiarioRequest,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.academico.pago.dto,PagoDtos.AnularPagoRequest,6,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.academico.pago.dto,PagoDtos.RegistrarMembresiaRequest,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.sesion.controller,SesionEntrenamientoController,6,70,0,4,1,12,1,7,1,5
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos,3,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos.NoConvocable,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,PartidoDtos.PartidoPageResponse,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,PartidoDtos.PartidoResponse,0,42,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos.VentanaRendimiento,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos.JugadorConvocado,0,27,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos.AlineacionResponse,0,45,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,ConvocatoriaDtos.FeedbackAlineacionResponse,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,PartidoDtos.ResultadoRequest,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,PartidoDtos,3,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.deportivo.partido.dto,AlineacionDtos.JugadorEnCancha,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,PartidoDtos.CrearPartidoRequest,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,AlineacionDtos.GuardarAlineacionRequest,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.dto,AlineacionDtos,3,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.academico.representante.entity,Consentimiento,0,14,0,4,0,3,0,4,0,2
backend,org.uteq.backend.academico.representante.entity,Notificacion.Tipo,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.asignacion.dto,AsignacionDtos.AsignacionResponse,0,51,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.asignacion.dto,AsignacionDtos.AsignacionRequest,0,24,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.asignacion.dto,AsignacionDtos.DevolucionRequest,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.movimiento.entity,MovimientoStock.TipoMovimiento,0,21,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.usuario.controller,UsuarioController,19,23,0,0,3,5,3,3,3,3
backend,org.uteq.backend.seguridad.usuario.controller,PerfilController,12,117,4,4,1,22,5,3,1,3
backend,org.uteq.backend.seguridad.estado.dto,EstadoGeneralResponse,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.evaluacion.dto,EvaluacionDtos.PuntajeCriterioRequest,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.evaluacion.dto,EvaluacionDtos.CriterioResponse,15,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.deportivo.evaluacion.dto,EvaluacionDtos.FeedbackResponse,15,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.deportivo.evaluacion.dto,EvaluacionDtos.JugadorEvaluableResponse,0,39,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.evaluacion.dto,EvaluacionDtos.EvaluacionSesionResponse,0,27,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.evaluacion.dto,EvaluacionDtos.GuardarJugadorRequest,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.estado.controller,EstadoGeneralController,0,5,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.articulo.controller,ArticuloController,12,38,0,0,2,7,2,6,2,6
backend,org.uteq.backend.deportivo.evaluacion.entity,EvaluacionDiaria,0,5,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.evaluacion.entity,AlineacionJugador,0,4,0,0,0,2,0,1,0,1
backend,org.uteq.backend.deportivo.evaluacion.entity,Alineacion,0,12,0,0,0,5,0,2,0,2
backend,org.uteq.backend.deportivo.lesion.service,LesionService,4,146,3,9,0,31,3,12,0,9
backend,org.uteq.backend.seguridad.auth.security,UserDetailsServiceImpl,7,58,3,3,1,15,3,3,0,3
backend,org.uteq.backend.seguridad.auth.security,LoginAttemptService,0,51,1,7,0,9,1,6,0,3
backend,org.uteq.backend.seguridad.auth.security,JwtService,0,145,2,4,0,34,2,13,0,12
backend,org.uteq.backend.seguridad.auth.security,RedisBlacklistService,0,32,0,2,0,7,0,4,0,3
backend,org.uteq.backend.seguridad.auth.security,JwtAuthenticationFilter,0,131,1,23,0,33,1,13,0,2
backend,org.uteq.backend.deportivo.evaluacion.controller,EvaluacionDiariaController,0,22,0,0,0,5,0,3,0,3
backend,org.uteq.backend.academico.pago.service,PagoService,154,239,6,12,24,51,5,17,2,11
backend,org.uteq.backend.seguridad.estado.service,EstadoGeneralService,0,18,0,0,0,6,0,2,0,2
backend,org.uteq.backend.deportivo.entrenador.entity,Entrenador,0,18,1,1,0,6,1,2,0,2
backend,org.uteq.backend.deportivo.especialidad.service,EspecialidadService,24,121,2,4,2,29,4,9,2,8
backend,org.uteq.backend.reportes.controller,ReporteController,33,38,0,0,3,7,3,3,3,3
backend,org.uteq.backend.seguridad.auditoria.controller,AuditoriaController,0,43,0,4,0,6,0,3,0,1
backend,org.uteq.backend.deportivo.posicion.dto,PosicionResponse,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.entrenador.dto,EntrenadorPageResponse,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.entrenador.dto,EntrenadorResponse,0,48,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.entrenador.dto,EntrenadorRequest,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.auth.controller,AuthController,5,146,0,0,0,35,1,14,1,14
backend,org.uteq.backend.seguridad.auditoria.aop,AuditoriaAspect,14,134,6,12,3,30,6,9,0,5
backend,org.uteq.backend.inventario.asignacion.service,AsignacionService,55,328,5,27,6,78,12,20,7,9
backend,org.uteq.backend.deportivo.asistencia.entity,Asistencia,0,14,0,4,0,1,0,3,0,1
backend,org.uteq.backend.academico.representante.service,ConsentimientoService,13,154,0,4,1,40,2,8,2,6
backend,org.uteq.backend.academico.representante.service,RepresentanteService,84,430,5,17,11,101,12,26,7,20
backend,org.uteq.backend.academico.representante.service,InformeService,14,276,1,7,1,65,3,15,2,12
backend,org.uteq.backend.academico.representante.service,NotificacionService,96,169,1,9,24,43,8,15,7,11
backend,org.uteq.backend.academico.estudiante.controller,EstudianteController,37,76,2,2,6,14,7,7,5,7
backend,org.uteq.backend.academico.estudiante.controller,MiEquipoController,7,18,0,0,1,3,1,3,1,3
backend,org.uteq.backend.seguridad.auditoria.entity,Auditoria,0,7,0,2,0,3,0,2,0,1
backend,org.uteq.backend.deportivo.horario.dto,HorarioResponse,0,33,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.horario.dto,HorarioRequest,0,21,0,0,0,1,0,1,0,1
backend,org.uteq.backend.academico.alerta.service,AlertaService,0,266,0,24,0,49,0,17,0,5
backend,org.uteq.backend.seguridad.auditoria.dto,AuditoriaResponse,0,27,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.sesion.dto,SesionHistorialResponse,0,39,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.sesion.dto,SesionHoyResponse,0,30,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.sesion.dto,SesionHistorialResponse.FilaAsistencia,0,24,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.sesion.dto,SesionHistorialResponse.Resumen,0,21,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.sesion.dto,SesionCrearRequest,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.usuario.entity,Usuario,0,33,0,4,0,11,0,5,0,3
backend,org.uteq.backend.inventario.articulo.service,ArticuloService,15,198,2,10,2,49,4,13,2,9
backend,org.uteq.backend.deportivo.asistencia.controller,ResumenAsistenciaController,0,6,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.controller,AsistenciaSesionController,0,13,0,0,0,2,0,2,0,2
backend,org.uteq.backend.deportivo.asistencia.controller,AsistenciaQrController.MarcarQrResponse,0,6,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.controller,AsistenciaQrController.MarcarQrRequest,0,6,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.controller,MiAsistenciaController,0,11,0,0,0,2,0,2,0,2
backend,org.uteq.backend.deportivo.asistencia.controller,AsistenciaQrController,6,34,0,2,1,6,1,2,1,1
backend,org.uteq.backend.deportivo.asistencia.dto,AsistenciaDtos.MiHistorialResponse,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.dto,PasarListaDtos,3,0,0,0,1,0,1,0,1,0
backend,org.uteq.backend.deportivo.asistencia.dto,PasarListaDtos.MarcaAsistencia,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.dto,AsistenciaDtos.MapaAsistenciaResponse,0,21,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.dto,PasarListaDtos.NominaResponse,0,24,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.dto,PasarListaDtos.PasarListaRequest,0,6,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.dto,AsistenciaDtos.AsistenciaResponse,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.dto,PasarListaDtos.FilaNomina,0,21,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.asistencia.dto,AsistenciaDtos.DiaAsistenciaResponse,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.persona.dto,PersonaRequest,0,24,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.persona.dto,PersonaResponse,0,33,0,0,0,1,0,1,0,1
backend,org.uteq.backend.academico.representante.controller,RepresentanteController,19,37,0,0,3,7,3,5,3,5
backend,org.uteq.backend.academico.representante.controller,InformeRepresentanteController,18,35,0,0,2,6,2,5,2,5
backend,org.uteq.backend.academico.representante.controller,ConsentimientoController,0,30,0,0,0,6,0,3,0,3
backend,org.uteq.backend.inventario.asignacion.entity,Asignacion.TipoDestinatario,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.inventario.asignacion.entity,Asignacion.EstadoAsignacion,0,21,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.usuario.dto,UsuarioPageResponse,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.usuario.dto,UsuarioResponse,0,39,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.usuario.dto,UsuarioRequest,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.service,ConvocatoriaService.Convocatoria,0,27,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.partido.service,AlineacionService,284,286,24,18,48,58,24,12,9,6
backend,org.uteq.backend.deportivo.partido.service,ConvocatoriaService,76,394,13,27,14,69,13,19,2,10
backend,org.uteq.backend.deportivo.partido.service,PartidoService,188,220,14,12,43,44,18,13,9,9
backend,org.uteq.backend.deportivo.lesion.controller,LesionController,0,126,0,6,0,28,0,11,0,8
backend,org.uteq.backend.seguridad.usuario.service,UsuarioService,112,457,17,35,6,102,24,30,11,16
backend,org.uteq.backend.seguridad.auth.service,AuthService,0,378,4,18,0,87,4,17,0,10
backend,org.uteq.backend.seguridad.auth.service,AuthService.LoginResult,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.academico.pago.entity,Pago.TipoPago,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.academico.pago.entity,Pago,0,7,0,2,0,1,0,2,0,1
backend,org.uteq.backend.deportivo.categoria.service,CategoriaService,23,219,2,8,1,54,5,14,3,11
backend,org.uteq.backend.academico.estudiante.service,MiEquipoService,15,137,5,7,0,32,5,5,0,4
backend,org.uteq.backend.academico.estudiante.service,EstudianteService,242,555,28,38,31,128,41,26,15,19
backend,org.uteq.backend.academico.estudiante.service,EstudianteAccesoService,5,94,1,7,0,22,2,8,1,5
